groupe 1 
1.0,5.1,3.5,1.4,0.2
2.0,4.9,3.0,1.4,0.2
3.0,4.7,3.2,1.3,0.2
4.0,4.6,3.1,1.5,0.2
5.0,5.0,3.6,1.4,0.2
6.0,5.4,3.9,1.7,0.4
7.0,4.6,3.4,1.4,0.3
8.0,5.0,3.4,1.5,0.2
9.0,4.4,2.9,1.4,0.2
10.0,4.9,3.1,1.5,0.1
11.0,5.4,3.7,1.5,0.2
12.0,4.8,3.4,1.6,0.2
13.0,4.8,3.0,1.4,0.1
14.0,4.3,3.0,1.1,0.1
15.0,5.8,4.0,1.2,0.2
16.0,5.7,4.4,1.5,0.4
17.0,5.4,3.9,1.3,0.4
18.0,5.1,3.5,1.4,0.3
19.0,5.7,3.8,1.7,0.3
20.0,5.1,3.8,1.5,0.3
21.0,5.4,3.4,1.7,0.2
22.0,5.1,3.7,1.5,0.4
23.0,4.6,3.6,1.0,0.2
24.0,5.1,3.3,1.7,0.5
25.0,4.8,3.4,1.9,0.2
26.0,5.0,3.0,1.6,0.2
27.0,5.0,3.4,1.6,0.4
28.0,5.2,3.5,1.5,0.2
29.0,5.2,3.4,1.4,0.2
30.0,4.7,3.2,1.6,0.2
31.0,4.8,3.1,1.6,0.2
32.0,5.4,3.4,1.5,0.4
33.0,5.2,4.1,1.5,0.1
34.0,5.5,4.2,1.4,0.2
35.0,4.9,3.1,1.5,0.2
36.0,5.0,3.2,1.2,0.2
37.0,5.5,3.5,1.3,0.2
38.0,4.9,3.6,1.4,0.1
39.0,4.4,3.0,1.3,0.2
40.0,5.1,3.4,1.5,0.2
41.0,5.0,3.5,1.3,0.3
42.0,4.5,2.3,1.3,0.3
43.0,4.4,3.2,1.3,0.2
44.0,5.0,3.5,1.6,0.6
45.0,5.1,3.8,1.9,0.4
46.0,4.8,3.0,1.4,0.3
47.0,5.1,3.8,1.6,0.2
48.0,4.6,3.2,1.4,0.2
49.0,5.3,3.7,1.5,0.2
50.0,5.0,3.3,1.4,0.2
groupe 2 
51.0,7.0,3.2,4.7,1.4
53.0,6.9,3.1,4.9,1.5
73.0,6.3,2.5,4.9,1.5
77.0,6.8,2.8,4.8,1.4
78.0,6.7,3.0,5.0,1.7
84.0,6.0,2.7,5.1,1.6
87.0,6.7,3.1,4.7,1.5
101.0,6.3,3.3,6.0,2.5
102.0,5.8,2.7,5.1,1.9
103.0,7.1,3.0,5.9,2.1
104.0,6.3,2.9,5.6,1.8
105.0,6.5,3.0,5.8,2.2
106.0,7.6,3.0,6.6,2.1
108.0,7.3,2.9,6.3,1.8
109.0,6.7,2.5,5.8,1.8
110.0,7.2,3.6,6.1,2.5
111.0,6.5,3.2,5.1,2.0
112.0,6.4,2.7,5.3,1.9
113.0,6.8,3.0,5.5,2.1
114.0,5.7,2.5,5.0,2.0
115.0,5.8,2.8,5.1,2.4
116.0,6.4,3.2,5.3,2.3
117.0,6.5,3.0,5.5,1.8
118.0,7.7,3.8,6.7,2.2
119.0,7.7,2.6,6.9,2.3
120.0,6.0,2.2,5.0,1.5
121.0,6.9,3.2,5.7,2.3
123.0,7.7,2.8,6.7,2.0
124.0,6.3,2.7,4.9,1.8
125.0,6.7,3.3,5.7,2.1
126.0,7.2,3.2,6.0,1.8
127.0,6.2,2.8,4.8,1.8
128.0,6.1,3.0,4.9,1.8
129.0,6.4,2.8,5.6,2.1
130.0,7.2,3.0,5.8,1.6
131.0,7.4,2.8,6.1,1.9
132.0,7.9,3.8,6.4,2.0
133.0,6.4,2.8,5.6,2.2
134.0,6.3,2.8,5.1,1.5
135.0,6.1,2.6,5.6,1.4
136.0,7.7,3.0,6.1,2.3
137.0,6.3,3.4,5.6,2.4
138.0,6.4,3.1,5.5,1.8
140.0,6.9,3.1,5.4,2.1
141.0,6.7,3.1,5.6,2.4
142.0,6.9,3.1,5.1,2.3
143.0,5.8,2.7,5.1,1.9
144.0,6.8,3.2,5.9,2.3
145.0,6.7,3.3,5.7,2.5
146.0,6.7,3.0,5.2,2.3
147.0,6.3,2.5,5.0,1.9
148.0,6.5,3.0,5.2,2.0
149.0,6.2,3.4,5.4,2.3
150.0,5.9,3.0,5.1,1.8
groupe 3 
52.0,6.4,3.2,4.5,1.5
54.0,5.5,2.3,4.0,1.3
55.0,6.5,2.8,4.6,1.5
56.0,5.7,2.8,4.5,1.3
57.0,6.3,3.3,4.7,1.6
58.0,4.9,2.4,3.3,1.0
59.0,6.6,2.9,4.6,1.3
60.0,5.2,2.7,3.9,1.4
61.0,5.0,2.0,3.5,1.0
62.0,5.9,3.0,4.2,1.5
63.0,6.0,2.2,4.0,1.0
64.0,6.1,2.9,4.7,1.4
65.0,5.6,2.9,3.6,1.3
66.0,6.7,3.1,4.4,1.4
67.0,5.6,3.0,4.5,1.5
68.0,5.8,2.7,4.1,1.0
69.0,6.2,2.2,4.5,1.5
70.0,5.6,2.5,3.9,1.1
71.0,5.9,3.2,4.8,1.8
72.0,6.1,2.8,4.0,1.3
74.0,6.1,2.8,4.7,1.2
75.0,6.4,2.9,4.3,1.3
76.0,6.6,3.0,4.4,1.4
79.0,6.0,2.9,4.5,1.5
80.0,5.7,2.6,3.5,1.0
81.0,5.5,2.4,3.8,1.1
82.0,5.5,2.4,3.7,1.0
83.0,5.8,2.7,3.9,1.2
85.0,5.4,3.0,4.5,1.5
86.0,6.0,3.4,4.5,1.6
88.0,6.3,2.3,4.4,1.3
89.0,5.6,3.0,4.1,1.3
90.0,5.5,2.5,4.0,1.3
91.0,5.5,2.6,4.4,1.2
92.0,6.1,3.0,4.6,1.4
93.0,5.8,2.6,4.0,1.2
94.0,5.0,2.3,3.3,1.0
95.0,5.6,2.7,4.2,1.3
96.0,5.7,3.0,4.2,1.2
97.0,5.7,2.9,4.2,1.3
98.0,6.2,2.9,4.3,1.3
99.0,5.1,2.5,3.0,1.1
100.0,5.7,2.8,4.1,1.3
107.0,4.9,2.5,4.5,1.7
122.0,5.6,2.8,4.9,2.0
139.0,6.0,3.0,4.8,1.8
